case,subcutaneous_fat,muscle,visceral_fat
case_000,0.9366115501384811,0.8816292043853013,0.7306987926471535
case_001,0.9543696510820859,0.8525538536893716,0.9134505314444934
case_002,0.926542925601276,0.8248877290223519,0.8976212427434952
case_003,0.8692795252084873,0.6954851458339126,0.9190188881548801
case_004,0.9226735679097623,0.8625957628589505,0.8923005748896005
case_005,0.9140327352267887,0.8365958096474347,0.8576151457581276
case_006,0.920501324879265,0.8640843763192496,0.8417284711426003
case_007,0.9244867354674756,0.8488174099662293,0.8694163891886618
case_008,0.9429907385158012,0.8741285336557186,0.8195927534065068
case_009,0.8827079102318336,0.7741601976642726,0.9093756801042541
case_010,0.9486106623738536,0.7833123247485813,0.9433511315023847
case_011,0.8916007144920113,0.8394086356093581,0.8401756674754044
case_012,0.9413366684129976,0.8405416431245814,0.9246985271333034
case_013,0.9309899737073422,0.8149920824991007,0.925578096030155
case_014,0.8944618925078781,0.8238453874956677,0.8921450718020182
case_015,0.903550204618704,0.8414095242678701,0.7948566223957579
case_016,0.92005086003191,0.8368817030094088,0.8935465012483783
case_017,0.9254876364173353,0.8015650848728391,0.9202234043042983
case_018,0.945086711993618,0.8669297271958893,0.9023516645595104
case_019,0.931319986213377,0.8333854924665636,0.9172130898871413
case_020,0.9316969024327157,0.8287532119687531,0.9198208270556992
case_021,0.9244851191775839,0.8903668985674015,0.6758418820111987
case_022,0.9272632117778131,0.8520734829920914,0.8937905581252652
case_023,0.9264923266304402,0.858666555698897,0.8937795622339998
case_024,0.8759008511921198,0.775578398494415,0.9327479596776128
case_025,0.9087421778520433,0.8558428580208229,0.8171202904420579
case_026,0.9138570555634342,0.8138665811768153,0.9042538315184239
case_027,0.9377156214994755,0.861154431097736,0.8774475689820944
case_028,0.9261752198038691,0.8313779466310915,0.9196620725803475
case_029,0.8748965412478061,0.8222372032320074,0.9033236139814971
case_030,0.9269879931948878,0.8059816401440675,0.8975073838475497
case_031,0.8807788058389706,0.7756215593828772,0.8726061447160746
case_032,0.9260783108470347,0.8446875506591994,0.9189581640347667
case_033,0.9163138736451356,0.8187964011938916,0.9040979009945727
case_034,0.9221094682925118,0.8489708801923195,0.8269839032943527
case_035,0.9534399084002367,0.8506347423668051,0.8611878781275577
case_036,0.9061178160539314,0.8484236142947158,0.8862846465875027
case_037,0.9090939971142064,0.8306909466672362,0.8996575285325656
case_038,0.9448447581439126,0.8567124818706867,0.9320412032818737
case_039,0.9160561027974604,0.8345758710285966,0.9103222415733493
case_040,0.8721737295176752,0.7159775491430496,0.8860411925211632
case_041,0.9327142467779246,0.8652660344667359,0.8820858006380293
case_042,0.9104743027666324,0.8234682127713266,0.8764707414585913
case_043,0.9485919181144359,0.8459829529515837,0.9117102995326701
case_044,0.9322941423876397,0.8302483848679616,0.9064949350208944
case_045,0.9479902710835202,0.8766426409100039,0.867496131296577
case_046,0.9120322533331828,0.810686589535256,0.9147341132915314
case_047,0.9180841796192187,0.8375753312543034,0.8533478986198779
case_048,0.9175178983328963,0.8284963261437776,0.9054028538656591
case_049,0.9366034196798441,0.8584876876681667,0.8627816713782245
case_050,0.9304272671231227,0.8015326450327054,0.9186377317055343
case_051,0.942669696605327,0.8702395649264534,0.9217764864318774
case_052,0.8971484069866769,0.8147010382388222,0.8854755148350288
case_053,0.9164655675330072,0.8428697979311224,0.6713689969871326
case_054,0.9236282120051222,0.8165134340232953,0.8513003891619348
case_055,0.9231275381497707,0.8304506295826762,0.8740894076409633
case_056,0.9197571855934398,0.8496053870162192,0.8786817183050019
case_057,0.9110513925998326,0.8038498216296105,0.914575239715778
case_058,0.9444918673206644,0.8608579405682426,0.8564601507983417
case_059,0.9349245408487071,0.8341939779972966,0.8871148749797546
case_060,0.9161719305046033,0.7610607392031005,0.8877793404434566
case_061,0.9225400738730252,0.82220493297037,0.8529054856768314
case_062,0.9394953492079336,0.8517998393252046,0.9229574030451811
case_063,0.8662680368517626,0.7572922243913487,0.8888495180803858
case_064,0.9454134745840175,0.857315871262531,0.9304993306134712
case_065,0.925052466161087,0.793808192467105,0.9174391082214345
case_066,0.9426890155097983,0.8105967136979996,0.9140214919316985
case_067,0.9496682111769941,0.8775403375982064,0.8463362353641563
case_068,0.9005127619226194,0.8046940881221311,0.9114396168906735
case_069,0.9155750671311391,0.8389560254030408,0.9013486056781858
case_070,0.9376866975172989,0.81037234949971,0.8750096400725407
case_071,0.9337649304993774,0.8421415799166676,0.9200769247500823
case_072,0.9446037938421685,0.8383026497203335,0.8996464995955799
case_073,0.9301974317965539,0.8688535524437133,0.8653678033074228
case_074,0.9382209208817106,0.8768436231774629,0.8935642802081599
case_075,0.9350863485397695,0.8823973353568992,0.8339340157571195
case_076,0.9255840832960399,0.8502055609217526,0.9272682294824471
case_077,0.9488713509920292,0.8695222022375613,0.8915568101953648
case_078,0.9043384416396723,0.8124199599170718,0.9102249363021782
case_079,0.923538820780442,0.8125877177862684,0.916655701009015
case_080,0.9265729853603215,0.8588650351843132,0.9152054856324883
case_081,0.934706059678224,0.8103406312005188,0.9346291314017724
case_082,0.8511080923554823,0.7057940296421845,0.8567205727344893
case_083,0.936346283757746,0.8490835608212814,0.8058614061054192
case_084,0.9175525675055025,0.8197174491189745,0.9128807120497753
case_085,0.9278857069849122,0.8229581897165832,0.8706170826815064
case_086,0.9434061819757361,0.8701589107252138,0.8768021344602712
case_087,0.9292691961174794,0.8393630782592597,0.9201066554667787
case_088,0.9051612098131276,0.7768261860225292,0.8971813417096709
case_089,0.8925240005134117,0.8331167799461859,0.8996826772177782
case_090,0.9483381743597658,0.8832429374649275,0.9169128051246181
case_091,0.8904749306276757,0.7917283910025339,0.9174865710963334
case_092,0.9128970343432106,0.7288728766638961,0.9370699944120803
case_093,0.9514927968902017,0.8583383489095763,0.8621609397183161
case_094,0.9153470722493314,0.7971672122670145,0.9176342284775015
case_095,0.8420893763775723,0.794519568463008,0.8626900681785201
case_096,0.8734975837130495,0.8000471174532746,0.8119121014687335
case_097,0.9431844280820838,0.8425030606585742,0.9202541317944528
case_098,0.9345154983074548,0.852054001704905,0.9061322198579713
case_099,0.9134632335418776,0.8173398564989032,0.9089551046224795
case_100,0.8048459022905291,0.7758452242913317,0.860241646431724
case_101,0.8717236665571924,0.7626234398083638,0.843117952538018
case_102,0.9010551499621129,0.7853510741350928,0.8582856762717368
case_103,0.9264896411925854,0.8581439565815457,0.8924327656747246
case_104,0.9113248031776371,0.8389002949310691,0.8987717947323003
case_105,0.9328055486459118,0.8531788994260966,0.9012915274543009
case_106,0.9147107128164352,0.8564668392970409,0.8382260972934297
case_107,0.930625966680699,0.8610758293585871,0.8579729398064955
case_108,0.9067889120234567,0.8324379969151401,0.904522904170874
case_109,0.9371940512762575,0.7931506771135715,0.9326288823194426
case_110,0.9244810301945067,0.8361626010212797,0.8753926751936321
case_111,0.8775871073947081,0.829455095576573,0.8935108625731851
case_112,0.9014478284979517,0.8244868007063977,0.8761631175555675
case_113,0.8986207593593607,0.8165506710817461,0.8255142272522303
case_114,0.872600185577885,0.813822892541934,0.9071712714623555
case_115,0.8942347384453216,0.8181871820324841,0.8631282504295706
case_116,0.9404814888702391,0.8627745963986686,0.8001286844777654
case_117,0.9374642172753147,0.8308880177752926,0.908199466981941
case_118,0.794071124594701,0.8164041889811808,0.6845823100914301
case_119,0.9333496114995044,0.8547741774705138,0.8948272170901864
case_120,0.8938404513100755,0.7973218807729124,0.9051923161643441
case_121,0.9274521799920369,0.8457005964010533,0.9186473183077015
case_122,0.9356550743650135,0.8566070140615418,0.9095876734635489
case_123,0.9022945708648062,0.8373541967057869,0.7993910147585188
case_124,0.9411475379216174,0.8246963213998513,0.9312067993783265
case_125,0.8982816392553414,0.8595779344417693,0.8483706016983392
case_126,0.918714820650171,0.8575154683660675,0.7585705798802574
case_127,0.908746717353394,0.8281097950144611,0.9046680479309567
case_128,0.9204421791710431,0.8710474103494934,0.745650535848068
case_129,0.9047626385718026,0.8248800665335387,0.5567877241804957
case_130,0.8620864360408018,0.8064303501782044,0.8864922118867719
case_131,0.9523316930939688,0.8547213366024808,0.9188682843433492
case_132,0.894726660255716,0.8243518266212283,0.896030183231908
case_133,0.9062740466067304,0.8186125779716985,0.8412072767575565
case_134,0.9287058780129518,0.8610949237753542,0.8586085775516987
case_135,0.9336523853025173,0.8514977320412901,0.9011862771038799
case_136,0.8972158125193468,0.844013817079974,0.8951513362421876
case_137,0.8905852916839462,0.8320289437505879,0.7750697969167103
case_138,0.9411473267385063,0.8550272838202293,0.8620355384528151
case_139,0.9151779589177409,0.7968754366632723,0.8835567032794734
case_140,0.9270969755361421,0.8113410666605007,0.9218483164134839
case_141,0.9464312018116336,0.8256493975131112,0.9267583736708898
case_142,0.9349335887078382,0.8213461308459041,0.9053049361357429
case_143,0.9126107114128238,0.8002583178185552,0.9117144444447992
case_144,0.9501072557160526,0.8581033905743118,0.8706141257449428
case_145,0.9364631695341563,0.8582594624495624,0.8752150834303758
case_146,0.9096098754865003,0.8411590604662192,0.8701218058869155
case_147,0.947167878982537,0.8366188626820317,0.9264892483469468
case_148,0.9070524126579278,0.8792270990514082,0.9182881647805872
case_149,0.9302312819289169,0.8293501264091764,0.8966937474778199
case_150,0.89686020656474,0.8666093034886261,0.8385835183496497
case_151,0.8930100666995666,0.8689148336101191,0.9303183251253561
case_152,0.9055449215615079,0.8810000994172669,0.8940573752147882
case_153,0.9363806466840142,0.8042550925150609,0.9060908432676708
case_154,0.8575708244017397,0.8710625532332161,0.9263742427337808
case_155,0.8911359085161676,0.8312199980690277,0.9236796467911761
case_156,0.9043533168709431,0.8740051335065269,0.9124448690325861
case_157,0.925405028587035,0.8866497429031766,0.9074549379456457
case_158,0.841353027147458,0.8218901082809225,0.7460414344466308
case_159,0.926694893655668,0.8507326472534723,0.907318693053621
case_160,0.893140763520219,0.8421377103849417,0.8983233819928942
case_161,0.9260437986376776,0.8987045547230291,0.9082177924319785
case_162,0.8729144471399913,0.8586853290249926,0.9281634433500646
case_163,0.9218032538937602,0.8512408373320062,0.9214874756262446
case_164,0.857163441823515,0.7487784164953442,0.9220678021442577
case_165,0.9278485482760098,0.8486333326418106,0.8923861317724915
case_166,0.8879544194700659,0.8618764486697583,0.9240805128967569
case_167,0.8838349000891175,0.8727944692052654,0.9211897613807807
case_168,0.8942811896614411,0.8630795175871713,0.9224731152561257
case_169,0.8987840991586027,0.8471079992363674,0.9358778807457244
case_170,0.9025853579091789,0.8276785015646901,0.9002252360795961
case_171,0.8829422818512135,0.8480610781381853,0.911877172759927
case_172,0.9360936787774761,0.8682818407426036,0.9232745084739231
case_173,0.9167657291643226,0.846648279081782,0.9189291682410133
case_174,0.9068737536270504,0.8572341886103196,0.9426928740687271
case_175,0.9206980163725719,0.8050316083413533,0.9272490168730942
case_176,0.9191762045618692,0.8651835947951048,0.8393532230736556
case_177,0.912290833608602,0.8359719957769867,0.9323598690370872
case_178,0.915945604971834,0.8221599473781619,0.9108997649562832
case_179,0.922580043422158,0.8477076166848314,0.9190858120596037
case_180,0.9255962327093439,0.8549386391868812,0.8961049257279345
case_181,0.9278691965944638,0.8640438857795449,0.9231210526415367
case_182,0.9150402471259387,0.8557876033002179,0.9148917183332312
case_183,0.911607132529881,0.8372987181977896,0.9088477734887195
case_184,0.9155028227066377,0.8352799725265262,0.9172847937762528
case_185,0.9142797755991902,0.8249928881138304,0.9188791653989631
case_186,0.9141608272429042,0.8728594326431318,0.9135559662991732
case_187,0.943522951159722,0.8630822635744949,0.9087629941062153
case_188,0.885935329573283,0.8280548472971186,0.8982681797575274
case_189,0.8667856726543115,0.8946559630580674,0.8225676820932007
case_190,0.889293305727696,0.8610309584723715,0.9187972402541473
case_191,0.9318837221585203,0.8604116963947603,0.9110295402069024
case_192,0.8886935250036408,0.8366659833597452,0.9099473839638799
case_193,0.9241921061978322,0.857425090610587,0.9143522081345552
case_194,0.8595619395412633,0.79705965989099,0.8756609854918613
case_195,0.9291012115661993,0.7990439268262515,0.9321244403040937
case_196,0.92741703608417,0.8179416600055252,0.9226539643154392
case_197,0.9085844641362861,0.8857482908330057,0.9163979537266049
case_198,0.8761927060910558,0.8232024235220252,0.8975488394108297
case_199,0.9109598804816483,0.8685321106196231,0.8982003160783897
case_200,0.9352847379144458,0.8403427006205814,0.9286932628293656
case_201,0.8805429066642066,0.8476426372786909,0.8980332711461828
case_202,0.9149943023431566,0.845752965546928,0.9173166154252481
case_203,0.9036000845579436,0.894986559451653,0.6628537203897032
case_204,0.8722200268865937,0.872042616389374,0.9199851648648897
case_205,0.9092368421567,0.8724754817363425,0.8905792415898962
case_206,0.9085234196950976,0.8898539285303585,0.9157805378376106
case_207,0.9081780007644545,0.8026630027453593,0.9268210413390182
case_208,0.9314881949507645,0.8717994354593493,0.9192298981802163
case_209,0.9119977353704148,0.819202778926235,0.9187802113938859
case_210,0.8944890301718004,0.8380997675460358,0.922755492839868
case_211,0.8532881915434911,0.8101241348848615,0.8255306773458558
case_212,0.8740225638777335,0.8263005762801919,0.9291273487779204
case_213,0.8809276154015295,0.8956343203652724,0.8564981551799329
case_214,0.9252985979861342,0.8473573622378954,0.9285817695306289
case_215,0.9181716000699581,0.8786154123614326,0.8931801487722966
case_216,0.895635313770802,0.8555663671682614,0.9208434036703437
case_217,0.9204073936163133,0.8005368846291545,0.9273418169924407
case_218,0.8873972004572813,0.8713516742074539,0.8043220828894543
case_219,0.9312746021843297,0.8724278457002872,0.9166128327096683
case_220,0.9092634014148616,0.8263171063209872,0.9073598847591884
case_221,0.9160426571843348,0.8613890769987637,0.9023432665889612
case_222,0.8039387049334891,0.8711459510304869,0.6736094656554744
case_223,0.8983092018909465,0.8607276509367935,0.894991826295076
case_224,0.9132558605719346,0.8128220506657894,0.9139096084322833
case_225,0.9001847511079474,0.8739196982717456,0.9150335662700649
case_226,0.9299198939933405,0.8801728753458694,0.933212632064296
case_227,0.9358051827318823,0.8695825895434669,0.8971624420925611
case_228,0.9146700936058276,0.8527692226055364,0.9253020960187948
case_229,0.9020641181109003,0.8549941672768819,0.832550164864808
case_230,0.9418763048593264,0.8722598760907175,0.7490473781906772
case_231,0.9285029246770464,0.8798928340646861,0.9327797689470532
case_232,0.9102350523370378,0.8885177781120431,0.8871384876269385
case_233,0.8966778958892225,0.8626434257602732,0.9257717293781617
case_234,0.9521576516720848,0.8774702688228609,0.9213568105921872
case_235,0.8907782664830279,0.8446120851998296,0.9054317049857399
case_236,0.9243552633338812,0.825279564095472,0.9245857656279358
case_237,0.9299065538034541,0.8521009754754678,0.9231600352062167
case_238,0.9077081960752669,0.8860307423834541,0.8630277184650876
case_239,0.9368394349457885,0.8402259825970863,0.9059980036493112
case_240,0.8948531176367325,0.8597631996995612,0.91929554598305
case_241,0.8722112693153437,0.8067110381076742,0.923203330463847
case_242,0.9465082086388916,0.8447065420810658,0.9220398794087918
case_243,0.8564745079687519,0.7804193513607312,0.8964692211271754
case_244,0.9180057749017366,0.8957576730853556,0.8070214947231629
case_245,0.8908382558298499,0.860672539099071,0.8873385253589543
case_246,0.9180404202235811,0.8823368108109871,0.9195917415336532
case_247,0.8703698740090137,0.8085167979810051,0.8057901954870746
case_248,0.8458805142102951,0.8785123401112479,0.7936414413784523
case_249,0.9247929991401218,0.859004623783287,0.9264123196925118
case_250,0.9494799074693837,0.8590375745976714,0.9421204403636463
case_251,0.8709974186546767,0.7345382611286534,0.9292012402349282
case_252,0.9122067710528958,0.8993979659808148,0.8177489389574613
case_253,0.9021929385844102,0.8495164988840138,0.9264637018692127
case_254,0.8906360293795279,0.811859895506442,0.9191820385339092
case_255,0.9158031738289388,0.8495915277011824,0.8898430574548698
case_256,0.917397810016927,0.8845482373493511,0.9079890576023057
case_257,0.9211325939760691,0.8457152003823388,0.9224238558921344
case_258,0.7829870560797021,0.8368157633936522,0.7287774371945117
case_259,0.9355167969015273,0.8867096796578102,0.8015758286877663
case_260,0.9183337707674264,0.8773511392355491,0.9106277804254943
case_261,0.9115117127711639,0.8424280219731675,0.9026537014516511
case_262,0.9087837149279805,0.8639728533365576,0.9154166735131058
case_263,0.8962727363712193,0.8343630579910114,0.90501906703476
case_264,0.9287159161089141,0.8671324483098913,0.8905623499667007
case_265,0.8560629560020578,0.8147827760290782,0.8885113980148887
case_266,0.9340606242913692,0.8118715631848713,0.9231201866128673
case_267,0.8613384284040861,0.867900524605356,0.635276764012027
case_268,0.9221995636712005,0.8831652622167598,0.937618114082874
case_269,0.9292723051417001,0.8546163273747552,0.8958799469370473
case_270,0.934625588878416,0.8851606915485349,0.8819133970970825
case_271,0.9204775129210201,0.8600533843586033,0.9263787102049273
case_272,0.9232843677973805,0.8713534571910682,0.9142309482938262
case_273,0.9073840029519601,0.8839309442902459,0.9300619844694139
case_274,0.9392924067060344,0.888568635815758,0.902021619119654
case_275,0.9035625639576733,0.8503024887320769,0.9155033952234709
case_276,0.926628161420651,0.8699279412254015,0.923857583270341
case_277,0.884715996721089,0.8993428607335273,0.7687595010122162
case_278,0.7811735903071607,0.8630054262016065,0.6269144833374605
case_279,0.9262244981678889,0.8678667607108702,0.9042176603120642
case_280,0.8730423662216807,0.8248125249638315,0.9077474794303744
case_281,0.9150831051656254,0.829579048047385,0.9128451920807716
case_282,0.8591137057593637,0.8507383512413742,0.9110176823926621
case_283,0.8941145097663827,0.8340171508892573,0.9259506788249241
case_284,0.9148960900715335,0.8679246471453284,0.8803340715046375
case_285,0.8980083605430978,0.8489044610964749,0.9043629517365279
case_286,0.9516613989869681,0.8604976701998216,0.8772848958021932
case_287,0.9200717481768237,0.884754617444182,0.9126789791242544
case_288,0.9409820095737143,0.8779222016686801,0.922718081435501
case_289,0.8966583225690824,0.8700735458779153,0.9278303891782651
case_290,0.9189572044888257,0.8487105578243035,0.9113128650539046
case_291,0.9051806692566257,0.8482279016409046,0.8917629362664472
case_292,0.859564861968972,0.7913826548588354,0.9079939037468218
case_293,0.9327186957248036,0.8833970362695062,0.9385089864209949
case_294,0.9116890177778035,0.8351171223445496,0.9169163245306046
case_295,0.9170017277521694,0.8696687333696757,0.8934195850935549
case_296,0.8409788626907762,0.8757625202377857,0.7690135704371852
case_297,0.9148634397810363,0.8560195067996788,0.9095441273203713
case_298,0.908059526423457,0.8303254010766803,0.9171760627144258
